City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
253,Mecca,SA,21.43,39.83,67.77,52,20,1.83,few clouds,0.0,0.0
254,Noyabrsk,RU,63.2,75.45,5.79,82,95,19.1,overcast clouds,0.0,0.0
255,Sitka,US,57.05,-135.33,35.6,80,90,6.93,overcast clouds,0.0,0.0
256,Mar Del Plata,AR,-38.0,-57.56,61.0,87,0,3.36,clear sky,0.0,0.0
257,Djambala,CG,-2.54,14.75,73.42,77,57,3.09,broken clouds,0.0,0.0
258,Roald,NO,62.58,6.13,41.0,86,98,18.34,light rain,2.13,0.0
259,Mount Isa,AU,-20.73,139.5,86.0,62,40,14.99,scattered clouds,0.0,0.0
260,Mandalgovi,MN,45.76,106.27,19.42,56,67,9.26,broken clouds,0.0,0.0
261,Esperance,AU,-33.87,121.9,71.6,78,59,11.41,broken clouds,0.0,0.0
262,Talnakh,RU,69.49,88.4,8.6,84,75,29.08,light snow,0.0,0.0
263,Gaoua,BF,10.3,-3.25,79.23,12,5,6.29,clear sky,0.0,0.0
264,Pisco,PE,-13.7,-76.22,77.0,83,75,12.75,broken clouds,0.0,0.0
265,Mirnyy,RU,62.54,113.96,-2.2,84,90,2.24,overcast clouds,0.0,0.0
266,Playa Vicente,MX,17.83,-95.82,70.0,86,86,7.0,overcast clouds,0.0,0.0
267,Knezica,BA,45.1,16.68,35.6,69,100,4.7,overcast clouds,0.0,0.0
268,Ulladulla,AU,-35.35,150.47,75.2,60,75,10.29,broken clouds,0.0,0.0
269,Bonthe,SL,7.53,-12.51,80.67,88,48,8.34,scattered clouds,0.0,0.0
270,Coquimbo,CL,-29.95,-71.34,60.8,82,0,9.17,clear sky,0.0,0.0
271,Makasar,ID,-5.14,119.42,77.0,100,40,2.24,scattered clouds,0.0,0.0
272,Ayan,RU,56.45,138.17,4.69,76,27,3.76,scattered clouds,0.0,0.0
273,Nemuro,JP,43.32,145.57,33.8,80,75,16.11,broken clouds,0.0,0.0
274,Ponta Do Sol,PT,32.67,-17.1,70.0,77,20,20.8,few clouds,0.0,0.0
275,Cascais,PT,38.7,-9.42,62.01,58,36,5.82,scattered clouds,0.0,0.0
276,Kannangad,IN,12.31,75.11,75.2,94,20,1.12,mist,0.0,0.0
277,Usinsk,RU,65.99,57.53,31.96,95,100,27.69,light snow,0.0,0.13
278,Pitsunda,GE,43.16,40.34,46.4,87,90,2.24,light intensity shower rain,0.0,0.0
279,Kudahuvadhoo,MV,2.67,72.89,83.1,78,100,17.25,overcast clouds,0.0,0.0
280,Bambous Virieux,MU,-20.34,57.76,75.99,94,20,2.24,few clouds,0.0,0.0
281,Batagay,RU,67.63,134.63,-9.69,97,86,2.19,overcast clouds,0.0,0.0
282,Padang,ID,-0.95,100.35,69.48,84,0,7.34,clear sky,0.0,0.0
283,Telma,RU,52.7,103.71,17.6,100,75,6.71,broken clouds,0.0,0.0
284,Atherton,GB,53.52,-2.49,45.0,93,100,11.41,moderate rain,0.0,0.0
285,Kirovsk,UA,48.64,38.64,32.49,99,100,5.08,overcast clouds,0.0,0.0
286,Santa Cruz De La Palma,ES,28.68,-17.76,71.6,49,75,14.99,broken clouds,0.0,0.0
287,Quatre Cocos,MU,-20.21,57.76,75.99,94,20,2.24,few clouds,0.0,0.0
288,Port Hardy,CA,50.7,-127.42,42.8,81,40,16.11,scattered clouds,0.0,0.0
289,Morehead,US,37.27,-87.18,42.01,44,1,5.7,clear sky,0.0,0.0
290,Amapa,BR,1.0,-52.0,73.67,98,37,2.24,light rain,0.87,0.0
291,Fremont,US,37.55,-121.99,63.0,66,20,16.11,few clouds,0.0,0.0
292,Brzeg,PL,50.86,17.47,50.0,66,75,18.34,light intensity shower rain,0.0,0.0
293,Pevek,RU,69.7,170.31,-10.84,96,100,9.75,light snow,0.0,0.13
294,Te Anau,NZ,-45.42,167.72,57.83,63,49,7.4,scattered clouds,0.0,0.0
295,Lerwick,GB,60.15,-1.15,42.8,81,92,23.04,moderate rain,3.56,0.0
